job.name,scen.name,rep.name,rep.methods,model,coef_of_interest,N,imp_m,imp_maxit,mice_method,dag_name,method,bhat,bhat_lo,bhat_hi,bhat_width,EY_prediction,overall.error,beta,form_string,gold_form_string,sancheck.prop_complete,sancheck.mean_RB,sancheck.mean_RC
job_1,1,7,gold ; CC ; IPW-custom,OLS,A,10000,5,100,pmm,9A,IPW-custom,1.29647773137268,0.425308844559672,2.16764661818569,1.74233777362602,7.99118076810247,,,B ~ A * C * D,B1 ~ A1 * C1 * D1,0.3407,0.3689,0.8075
job_1,1,8,gold ; CC ; IPW-custom,OLS,A,10000,5,100,pmm,9A,gold,2.05374844149969,1.96085566476813,2.14664121823126,0.185785553463123,7.98385440410028,,,B ~ A * C * D,B1 ~ A1 * C1 * D1,0.3513,0.3747,0.8084
job_1,1,8,gold ; CC ; IPW-custom,OLS,A,10000,5,100,pmm,9A,CC,2.46130563017862,1.54391930377685,3.37869195658039,1.83477265280354,7.97968851900022,,,B ~ A * C * D,B1 ~ A1 * C1 * D1,0.3513,0.3747,0.8084
job_1,1,8,gold ; CC ; IPW-custom,OLS,A,10000,5,100,pmm,9A,IPW-custom,2.46092115357731,1.54568108641151,3.37616122074311,1.8304801343316,7.958713452813,,,B ~ A * C * D,B1 ~ A1 * C1 * D1,0.3513,0.3747,0.8084
job_1,1,9,gold ; CC ; IPW-custom,OLS,A,10000,5,100,pmm,9A,gold,1.9678406675276,1.87912945923987,2.05655187581532,0.177422416575455,8.00429349283287,,,B ~ A * C * D,B1 ~ A1 * C1 * D1,0.3382,0.3674,0.8128
job_1,1,9,gold ; CC ; IPW-custom,OLS,A,10000,5,100,pmm,9A,CC,2.74459830735856,2.14435273645384,3.34484387826328,1.20049114180944,7.99232508515856,,,B ~ A * C * D,B1 ~ A1 * C1 * D1,0.3382,0.3674,0.8128
job_1,1,9,gold ; CC ; IPW-custom,OLS,A,10000,5,100,pmm,9A,IPW-custom,2.74542279389562,2.14856319527188,3.34228239251935,1.19371919724748,7.97380561558106,,,B ~ A * C * D,B1 ~ A1 * C1 * D1,0.3382,0.3674,0.8128
job_1,1,10,gold ; CC ; IPW-custom,OLS,A,10000,5,100,pmm,9A,gold,1.94651692677057,1.85747906312628,2.03555479041486,0.178075727288578,8.00864470171761,,,B ~ A * C * D,B1 ~ A1 * C1 * D1,0.356,0.376599999999998,0.8096
job_1,1,10,gold ; CC ; IPW-custom,OLS,A,10000,5,100,pmm,9A,CC,1.59330650749595,0.845792719866058,2.34082029512584,1.49502757525979,8.00539569082987,,,B ~ A * C * D,B1 ~ A1 * C1 * D1,0.356,0.376599999999998,0.8096
job_1,1,10,gold ; CC ; IPW-custom,OLS,A,10000,5,100,pmm,9A,IPW-custom,1.60397438718709,0.855744551237107,2.35220422313707,1.49645967189996,7.9889616376868,,,B ~ A * C * D,B1 ~ A1 * C1 * D1,0.356,0.376599999999998,0.8096
